submission_date,state,tot_cases,new_case,tot_death,new_death
2022-05-04,MS,"798,283",218,"12,450",0
2022-04-10,CO,"1,422,717",294,"11,984",0
2021-08-18,GU,"9,200",82,144,0
2022-10-03,PA,"3,254,503",0,"47,213",0
2020-11-01,MA,"159,707","1,131","10,048",20
2020-02-21,GA,0,0,0,0
2022-08-13,PA,"3,134,837",0,"46,422",0
2021-07-25,WA,"467,961","1,014","6,084",3
2020-06-01,TX,"64,880",593,"1,939",20
2022-09-01,PA,"3,185,902",0,"46,716",0
2021-05-21,NM,"201,868",173,"4,021",5
2022-07-14,IA,"805,836",0,"9,718",0
2020-05-25,MA,"93,271",596,"6,879",67
2021-07-01,MP,183,0,2,0
2022-07-13,UT,"989,767",0,"4,847",0
2022-04-19,ND,"240,529",95,"2,257",0
2020-03-23,AK,38,13,1,0
2021-09-28,CO,"671,474","1,849","7,522",19
2022-02-06,RMI,7,0,0,0
2020-08-20,NYC,"233,856",310,"23,353",1
2020-03-07,TX,5,0,0,0
2021-08-14,TN,"945,323","5,533","12,963",22
2020-04-10,CO,"6,648",370,250,24
2021-10-20,MP,289,0,3,0
2020-08-23,PA,"134,617",614,"7,578",2
2020-03-10,MA,91,63,0,0
2020-06-05,MP,26,2,2,0
2021-07-23,HI,"38,499",215,524,0
2021-01-17,TN,"676,555","6,908","8,355",44
2022-09-05,KS,"864,361",0,"9,019",0
2021-05-18,KS,"312,332",259,"5,040",0
2021-03-14,WA,"349,114",670,"5,123",0
2022-03-22,NM,"516,628",116,"7,171",14
2020-04-08,AL,"2,605",306,118,10
2021-04-19,CO,"499,574",913,"6,201",2
2022-05-15,RMI,17,0,0,0
2020-08-19,OH,"110,881",958,"3,907",36
2021-11-06,TX,"4,243,143","2,469","70,705",132
2022-01-06,KS,"549,721",0,"7,059",0
2022-09-19,NM,"616,125",527,"8,521",6
2020-03-04,WA,30,16,10,1
2020-11-05,KS,"92,215",0,"1,087",0
2022-04-15,IN,"1,693,565",0,"23,509",0
2021-03-06,IN,"667,519","1,244","12,693",29
2020-11-15,IA,"185,156","3,824","1,985",12
2021-02-26,TX,"2,629,116","7,961","46,188",155
2022-02-20,MA,"1,661,206",0,"23,109",0
2022-05-19,GA,"2,541,713",0,"38,157",0
2020-04-06,MP,8,0,1,0
2021-03-22,MP,157,0,2,0
2021-10-30,MS,"504,318",0,"10,075",0
2021-12-30,UT,"636,992","3,563","3,787",6
2022-04-19,AS,"5,663",0,21,0
2020-12-09,IA,"249,276","2,465","3,021",102
2022-08-25,FL,"6,998,469","6,789","80,140",66
2021-07-17,GU,"8,477",0,142,0
2021-10-20,CO,"718,284","2,308","7,971",22
2020-09-21,WA,"83,806",320,"2,055",18
2022-07-25,NY,"3,071,162","2,264","28,443",13
2020-09-07,GU,"1,619",0,14,0
2020-10-29,MA,"155,564","1,346","9,996",19
2022-05-23,NM,"530,772","1,436","7,684",9
2022-06-27,NY,"2,995,000","3,648","28,202",0
2020-05-09,GA,"30,670",307,"1,404",42
2022-10-16,CO,"1,663,241",0,"13,365",0
2021-03-25,WV,"139,251",433,"2,624",5
2021-05-23,PR,"139,158",82,"2,463",2
2020-03-06,ND,0,0,0,0
2021-12-30,GA,"1,816,441","24,420","31,418",64
2020-03-13,KS,6,2,1,0
2021-05-03,ND,"107,912",149,"1,494",0
2020-01-23,AL,0,0,0,0
2021-08-29,AS,0,0,0,0
2021-01-25,HI,"25,209",116,339,0
2022-01-10,WA,"977,038","13,179","10,028",24
2021-10-18,ND,"142,407",923,"1,690",10
2020-10-20,CO,"90,461","1,115","2,182",2
2022-01-23,CO,"1,293,733","8,665","10,799",0
2022-03-13,SD,"236,602",0,"2,853",0
2021-11-14,UT,"571,507",0,"3,347",0
2020-08-26,SD,"11,571",66,162,1
2020-03-29,IA,336,38,4,1
2020-02-21,IN,0,0,0,0
2022-10-05,IN,"1,925,645","3,652","24,748",40
2022-03-28,AR,"832,574",21,"11,211",1
2021-03-16,PA,"976,823","3,145","24,652",65
2021-11-13,TX,"4,266,084","3,849","71,586",84
2022-07-15,TN,"2,161,573","2,917","26,850",11
2021-01-10,GU,"7,399",0,124,0
2020-05-25,WA,"20,131",265,"1,070",9
2022-04-07,IA,"759,475",0,"9,454",0
2021-05-23,NYC,"947,020",434,"33,158",14
2022-03-24,ND,"239,629",34,"2,242",3
2021-01-18,FL,"1,557,597","9,620","26,503",205
2022-05-21,TX,"6,810,208","4,988","86,761",3
2021-12-10,GA,"1,678,746","1,959","30,823",25
2022-03-09,NM,"514,511",341,"7,026",16
2020-07-14,PR,"3,568",191,160,3
2020-10-02,WV,"16,307",283,355,1
2021-02-23,MA,"571,783","1,237","15,995",39
2021-08-20,KS,"356,065","1,338","5,494",38
2020-08-12,TN,"123,420","1,794","1,271",38
2022-04-07,GU,"47,541",27,352,0
2021-12-05,CO,"854,315","1,579","9,344",0
2021-07-11,PW,2,0,0,0
2021-02-16,RMI,4,0,0,0
2021-10-05,OH,"1,439,490","5,533","22,490",217
2021-07-10,UT,"419,388",412,"2,395",2
2022-09-18,GA,"2,893,001",0,"40,025",0
2021-01-03,WV,"91,058","1,731","1,376",3
2020-06-07,IA,"21,588",110,604,6
2020-07-26,PA,"112,447",859,"7,122",4
2020-08-25,ND,"10,467",238,138,0
2022-02-28,KS,"766,045",479,"7,946",9
2021-11-08,RMI,4,0,0,0
2021-11-16,PW,10,0,0,0
2021-12-09,NY,"1,636,493","8,238","22,567",43
2021-11-29,MS,"513,622",202,"10,264",1
2022-01-22,NM,"437,934",0,"6,259",0
2021-01-01,MS,"223,753","1,825","5,674",28
2021-08-12,MP,211,1,2,0
2021-08-30,IN,"855,031","3,777","14,411",0
2020-06-09,KS,"10,650",0,236,0
2020-04-26,AK,341,2,9,0
2020-12-23,AS,3,0,0,0
2020-07-27,OH,"85,177","1,104","3,344",37
2021-05-15,PR,"137,999",314,"2,426",3
2020-12-17,PW,0,0,0,0
2021-11-21,UT,"582,929",0,"3,428",0
2020-04-25,ND,803,55,16,1
2020-11-11,KS,"109,225","5,672","1,215",34
2022-09-25,AR,"949,754",172,"12,080",0
2022-06-21,WV,"527,437","2,351","7,018",1
2020-03-08,AS,0,0,0,0
2021-08-18,IA,"392,970",996,"6,226",16
2021-10-13,FL,"3,636,284","3,459","60,255",84
2020-03-22,UT,169,44,1,1
2021-01-02,NYC,"452,671","4,165","25,149",42
2020-12-10,ND,"87,213",506,"1,130",27
2020-06-28,MP,30,0,2,0
2020-02-03,IN,0,0,0,0
2022-01-21,OH,"2,480,566","19,697","31,987",742
2020-11-09,NYC,"278,408","1,199","23,798",13
2020-03-12,TN,0,0,0,0
2021-11-21,IA,"513,637",0,"7,268",0
2020-06-29,OH,"51,046",737,"2,818",11
2021-11-29,AL,"843,779",595,"16,441",9
2021-08-13,SD,"126,746",139,"2,052",1
2021-11-12,RMI,4,0,0,0
2022-02-03,TN,"1,901,757","11,224","22,920",70
2021-01-17,UT,"323,837","1,585","1,493",8
2020-04-21,RMI,0,0,0,0
2022-06-19,AR,"855,292",575,"11,540",7
2022-04-11,SD,"237,246",0,"2,893",0
2020-07-11,UT,"29,605",642,215,2
2022-01-20,NYC,"2,173,212","11,783","37,367",132
2020-03-28,MS,"1,826",102,121,4
2021-06-01,RMI,4,0,0,0
2022-10-18,IA,"861,010",844,"10,152",27
2021-02-25,ND,"99,711",90,"1,442",1
2020-04-19,NY,"108,350","2,802","3,787",225
2021-11-25,IN,"1,087,016","2,528","17,386",0
2022-08-06,GU,"55,925",0,382,0
2022-01-02,TX,"4,684,264","55,260","74,491",0
2020-06-26,MP,30,0,2,0
2021-08-13,NYC,"1,001,223","1,953","33,650",9
2021-11-17,IN,"1,061,791","3,412","17,191",44
2021-07-18,AS,0,0,0,0
2020-09-01,MA,"119,138",354,"9,084",16
2021-06-17,MS,"320,287",115,"7,453",3
2020-02-13,TX,0,0,0,0
2021-04-25,KS,"307,700",164,"4,968",0
2021-07-16,WA,"459,572",747,"6,042",6
2020-07-16,MA,"106,271",143,"8,408",11
2020-02-29,PR,0,0,0,0
2022-05-05,PR,"555,811","5,579","4,223",6
2021-10-02,IN,"968,010","2,028","15,765",88
2021-10-21,SD,"151,971",417,"2,214",9
2020-11-27,AR,"153,677","1,052","2,436",0
2020-02-09,FL,0,0,0,0
2022-08-22,PA,"3,150,248",0,"46,514",0
2021-04-19,KS,"306,290",429,"4,955",2
2020-07-13,PW,0,0,0,0
2021-08-17,MS,"396,394","4,085","7,931",0
2021-09-01,PA,"1,303,468","3,100","28,235",0
2021-01-23,MS,"266,907","1,120","6,500",17
2020-07-04,WA,"35,189",453,"1,354",2
2021-07-10,NY,"1,159,441",255,"19,947",0
2021-06-12,UT,"409,364",357,"2,323",4
2022-08-06,OK,"1,137,274",0,"14,593",0
2020-07-07,PA,"95,942",905,"6,812",25
2022-09-28,MA,"2,040,602",0,"21,646",0
2020-05-10,CO,"20,032",359,971,4
2021-06-22,RMI,4,0,0,0
2021-08-06,SD,"125,838",123,"2,050",0
2021-12-30,MS,"543,737","4,885","10,450",11
2020-03-26,NM,136,24,1,0
2021-09-23,FL,"3,555,005","7,860","57,408",203
2020-10-20,AL,"173,975","1,112","4,375",16
2020-06-17,AR,"13,606",415,197,9
2022-09-07,KS,"868,911","4,550","9,027",8
2021-09-17,AS,0,0,0,0
2020-09-13,AS,0,0,0,0
2020-01-28,OH,0,0,0,0
2022-09-11,TN,"2,318,975",895,"27,538",0
2022-10-08,AS,"8,250",0,34,0
2020-10-23,ND,"36,874",935,448,8
2021-12-31,RMI,4,0,0,0
2020-11-23,AS,3,0,0,0
2022-04-30,NY,"2,779,790","5,307","27,485",20
2021-12-15,IA,"553,407",509,"7,680",0
2020-06-26,AR,"18,740",678,249,7
2020-08-31,FL,"617,406","7,271","14,062",121
2020-12-25,GU,"7,266",0,121,0
2022-05-04,TN,"2,030,596",757,"26,198",4
2020-03-15,AR,16,4,0,0
2021-10-13,AK,"120,751","1,205",590,0
2021-11-11,TX,"4,259,194","3,767","71,186",324
2021-02-12,AK,"54,394",131,310,0
2020-12-31,AK,"45,771",372,281,3
2020-03-07,MS,28,8,2,0
2021-01-28,TN,"709,643","2,720","9,316",154
2020-08-19,UT,"48,260",475,377,6
2022-01-12,GA,"2,069,066","18,939","31,801",57
2020-07-10,AS,0,0,0,0
2020-02-10,AK,0,0,0,0
2020-07-28,OK,"40,616",847,638,12
2020-04-11,NY,"82,150","4,022","2,260",236
2020-05-12,IA,"12,912",539,289,18
2022-10-18,NY,"3,275,131","1,660","29,356",32
2020-05-01,UT,"4,828",75,46,0
2020-10-12,ND,"28,245",508,357,12
2021-05-05,SD,"123,073",99,"1,976",3
2021-05-05,KS,"310,115",235,"4,999",14
2021-04-25,NYC,"922,619","1,693","32,443",46
2022-04-11,PW,"4,122",24,6,0
2020-03-10,PW,0,0,0,0
2021-12-28,ND,"172,607",641,"2,005",3
2022-03-15,IA,"757,265",248,"9,349",87
2022-04-26,AL,"1,299,391",242,"19,650",1
2021-08-30,AK,"83,991",371,427,0
2020-03-01,IN,0,0,0,0
2021-06-06,FL,"2,297,375","1,232","37,393",26
2021-05-07,IA,"367,297",351,"5,983",3
2021-11-17,RMI,4,0,0,0
2020-09-12,OH,"136,568","1,242","4,411",8
2021-08-10,MP,210,4,2,0
2021-05-07,RMI,4,0,0,0
2022-06-13,MS,"816,572","1,593","12,481",1
2022-09-20,RMI,"15,224",11,17,0
2020-06-15,RMI,0,0,0,0
2021-10-10,CO,"697,919","1,830","7,755",11
2022-08-15,PA,"3,141,175","6,338","46,422",0
2022-10-18,NM,"623,179",266,"8,601",0
2022-02-05,PW,"2,559",61,0,0
2020-04-10,WA,"9,131",317,475,30
2020-04-29,KS,"3,738",247,125,1
2020-12-19,GA,"582,300","5,763","10,381",49
2022-05-29,TN,"2,059,804","1,109","26,477",0
2020-02-05,AS,0,0,0,0
2020-03-30,OK,"1,560",84,30,5
2022-01-17,HI,"170,259","4,637","1,115",0
2020-04-15,ND,365,24,9,0
2022-10-10,NY,"3,257,938","1,713","29,207",0
2020-12-14,WV,"64,394","1,177",978,10
2020-04-21,OH,"13,725",806,557,48
2020-07-29,AS,0,0,0,0
2021-11-09,FL,"3,685,956","1,549","61,734",45
2020-03-18,TN,18,4,0,0
2020-04-14,PR,508,22,43,6
2022-01-11,GA,"2,050,127","24,865","31,744",50
2022-01-24,AS,18,0,0,0
2022-04-15,GU,"47,725",22,354,0
2022-02-19,FL,"5,783,412","2,981","71,709",99
2021-11-18,KS,"452,909",0,"6,634",0
2022-04-03,WA,"1,457,768",552,"12,510",0
2021-10-18,GU,"17,154",163,226,3
2020-04-27,IA,"5,868",393,127,9
2022-04-20,PW,"4,279",0,6,0
2020-06-23,IA,"26,372",321,688,2
2021-03-19,SD,"115,518",315,"1,919",0
2021-11-27,ND,"161,093",0,"1,877",0
2020-10-31,SD,"45,992","1,433",425,10
2020-09-09,ND,"14,443",333,160,3
2021-11-05,MA,"861,480","1,767","19,087",18
2020-08-03,IN,"68,433",576,"2,961",5
2022-08-19,ND,"262,554",250,"2,329",0
2020-03-03,GU,0,0,0,0
2020-06-03,SD,"5,162",95,62,0
2021-10-17,AK,"124,060",691,626,16
2020-11-05,CO,"125,939","3,699","2,353",20
2022-07-03,AL,"1,362,523",877,"19,850",4
2021-07-12,PA,"1,219,666",130,"27,750",1
2021-05-10,IN,"730,306",590,"13,392",1
2020-02-14,AS,0,0,0,0
2020-02-20,MS,0,0,0,0
2021-12-01,MA,"924,400","5,303","19,430",26
2022-07-03,AR,"868,384",165,"11,589",0
2020-10-21,MP,88,2,2,0
2021-12-21,TN,"1,354,831","2,863","18,145",91
2021-08-30,MP,242,6,2,0
2021-07-01,NYC,"956,061",193,"33,426",4
2022-08-25,PA,"3,167,638",0,"46,596",0
2020-10-29,PA,"209,507","2,372","8,762",44
2020-10-31,IA,"127,966","2,941","1,716",10
2022-01-27,CO,"1,329,614","10,712","11,005",52
2021-03-01,SD,"112,470",43,"1,888",0
2021-09-01,PW,4,0,0,0
2022-05-16,MA,"1,821,071","11,762","20,409",16
2020-07-15,GA,"129,193","4,102","3,091",37
2022-10-05,AS,"8,250",3,34,0
2022-06-23,WA,"1,643,347","3,364","13,173",17
2021-12-18,HI,"88,717",698,"1,059",3
2022-09-18,PR,"947,672",312,"5,074",3
2020-07-31,NYC,"228,542",312,"23,263",5
2020-10-16,IN,"143,495","2,283","3,885",23
2022-09-04,AR,"936,411",406,"11,933",0
2020-10-15,NYC,"256,148",700,"23,608",4
2020-12-30,ND,"92,495",294,"1,292",10
2022-05-06,TX,"6,756,355","2,936","86,619",20
2020-05-22,AL,"13,926",364,728,12
2020-10-31,AL,"191,940","1,609","4,579",17
2020-05-30,MA,"96,301",789,"7,184",57
2022-01-24,IA,"693,914","11,551","8,317",0
2020-08-07,PR,"9,760",399,265,11
2022-07-31,MS,"875,132",0,"12,648",0
2022-08-30,NYC,"2,814,639","2,186","41,580",23
2020-04-07,OK,"2,246",85,87,11
2021-06-11,IN,"748,654",395,"13,700",4
2022-06-05,IA,"781,963",0,"9,603",0
2021-07-14,IA,"375,321",187,"6,158",9
2022-07-07,WA,"1,680,066","3,312","13,327",24
2020-11-21,UT,"173,979","3,395",787,14
2021-05-15,FL,"2,252,177","2,405","36,487",50
2021-12-23,PW,10,0,0,0
2020-11-22,RMI,4,0,0,0
2021-10-07,PA,"1,464,264","5,819","29,814",92
2022-05-18,UT,"938,864",0,"4,761",0
2022-05-12,IA,"768,869",0,"9,555",0
2022-02-27,MA,"1,669,594",0,"23,370",0
2020-07-24,PR,"5,765",251,189,10
2021-07-24,OK,"473,524","1,026","7,474",6
2021-12-24,AS,11,0,0,0
2021-03-24,UT,"382,733",562,"2,082",5
2022-09-02,IN,"1,899,553","3,754","24,483",29
2022-09-24,PW,"5,460",0,6,0
2021-01-30,MA,"521,360","4,108","14,768",59
2021-10-11,ND,"138,902",951,"1,652",10
2020-05-04,ND,"1,225",34,25,0
2020-08-21,NYC,"234,152",296,"23,354",1
2020-07-13,AL,"55,944","1,390","1,634",29
2022-06-14,MS,"817,450",878,"12,489",8
2022-03-01,PW,"3,823",42,6,0
2020-12-29,FL,"1,280,058","13,485","22,964",145
2021-02-08,GA,"943,695","2,704","15,130",38
2022-03-29,CO,"1,418,172",295,"11,966",0
2021-03-20,OH,"998,819","1,483","18,347",0
2020-10-19,AK,"11,226",202,91,0
2020-05-11,NY,"151,698",720,"6,947",80
2022-08-04,NM,"595,553",921,"8,273",6
2020-01-22,ND,0,0,0,0
2021-09-06,NY,"1,261,814","2,459","20,410",18
2021-01-07,OK,"350,724","3,902","4,951",59
2021-02-10,UT,"357,339","1,299","1,765",17
2021-12-09,GU,"19,303",3,267,0
2022-08-22,GU,"57,441",80,389,0
2021-08-27,TN,"1,019,600","7,456","13,345",41
2020-06-01,RMI,0,0,0,0
2020-04-05,GU,110,17,4,0
2021-10-11,HI,"79,093",107,840,4
2022-07-20,TX,"7,325,409","12,341","87,458",30
2021-12-04,WA,"782,337","1,815","9,413",0
2021-09-29,GA,"1,573,840","4,435","25,933",176
2022-06-28,IN,"1,769,015",0,"23,856",0
2022-02-18,PW,"3,463",0,5,0
2020-09-25,PR,"23,890",530,633,7
2022-06-07,PR,"695,343",583,"4,408",8
2022-10-10,MA,"2,060,884",0,"21,771",0
2020-08-06,OH,"97,471","1,166","3,618",22
2022-02-01,TN,"1,878,274","9,647","22,776",156
2020-04-07,WA,"8,108",311,394,23
2021-03-11,GU,"7,767",9,133,0
2020-02-15,NY,0,0,0,0
2020-02-17,AR,0,0,0,0
2022-06-21,WA,"1,637,050","1,631","13,130",15
2022-02-14,NYC,"2,265,769",644,"39,417",92
2021-12-22,UT,"622,414","1,406","3,749",11
2020-02-14,PW,0,0,0,0
2020-03-24,PR,1,0,1,0
2020-03-15,OH,37,32,0,0
2022-07-24,AR,"894,975",0,"11,673",0
2021-05-01,PR,"134,110",462,"2,306",2
2022-09-22,CO,"1,650,040",746,"13,263",3
2021-01-12,SD,"103,743",244,"1,585",0
2021-03-08,AR,"324,951",133,"5,343",24
2020-11-24,PA,"329,221","6,106","9,951",81
2022-06-13,CO,"1,512,845","1,553","12,632",7
2020-10-10,GU,"2,989",0,58,0
2021-01-27,ND,"97,305",145,"1,417",1
2021-11-09,IN,"1,037,109","1,968","16,976",61
2021-07-01,TN,"865,219",301,"12,568",6
2022-08-16,CO,"1,621,405",794,"13,090",2
2022-09-16,MS,"922,493",0,"12,853",0
2022-04-21,AK,"243,466",0,"1,215",0
2020-09-19,KS,"52,285",0,596,0
2020-02-14,SD,0,0,0,0
2022-03-26,CO,"1,417,404",369,"11,951",0
2021-10-17,OK,"634,914",947,"9,497",23
2022-03-02,OK,"1,023,358",589,"13,278",0
2020-11-22,HI,"17,039",120,231,2
2021-04-03,WV,"143,106",453,"2,693",5
2021-11-19,AS,5,0,0,0
2022-02-15,AL,"1,266,899","1,965","18,746",44
2022-01-07,HI,"130,605","3,520","1,090",3
2021-10-29,PA,"1,557,459","4,506","31,377",85
2021-04-11,PA,"1,079,234","3,647","25,405",3
2021-08-13,TN,"939,790","4,590","12,941",29
2020-10-21,AK,"11,682",224,95,2
2022-03-30,OH,"2,669,698",0,"37,793",0
2022-01-13,NY,"2,322,549","28,844","24,502",88
2021-07-07,HI,"36,714",34,515,0
2020-05-18,SD,"4,027",40,44,0
2020-09-05,TN,"158,882","1,110","1,837",22
2022-07-29,FL,"6,800,160","10,785","78,293",77
2021-08-21,SD,"128,405",110,"2,057",0
2022-08-28,GA,"2,852,706",0,"39,632",0
2021-03-11,PW,0,0,0,0
2022-05-10,MA,"1,792,722","3,606","20,357",22
2022-08-29,SD,"256,255",0,"2,984",0
2020-04-09,PR,434,51,30,8
2021-01-03,MA,"387,662","3,481","12,821",63
2021-04-22,SD,"121,651",134,"1,956",2
2022-07-03,FL,"6,518,904","6,713","76,604",48
2020-12-20,GA,"587,918","5,618","10,383",2
2020-01-27,FL,0,0,0,0
2022-10-02,AS,"8,247",0,34,0
2022-07-12,IN,"1,790,544",0,"23,962",0
2020-03-18,AS,0,0,0,0
2022-10-03,TX,"7,876,824","5,921","89,234",26
2021-02-07,GA,"940,991","3,589","15,092",2
2021-12-31,ND,"174,626",451,"2,012",0
2021-12-13,ND,"167,818",671,"1,962",14
2022-03-07,OH,"2,659,929",431,"37,018",0
2022-03-26,SD,"236,955",0,"2,880",0
2021-10-26,FL,"3,663,494","1,972","61,153",49
2022-05-21,SD,"239,110",0,"2,919",0
2022-10-08,AR,"953,976",295,"12,301",25
2021-03-27,SD,"117,081",248,"1,933",5
2021-07-18,IA,"376,040",157,"6,158",0
2021-07-22,PW,2,0,0,0
2021-08-11,NY,"1,191,255","2,191","20,039",11
2021-05-06,NY,"1,128,398","1,543","19,508",9
2020-08-14,WA,"66,060",898,"1,755",19
2022-03-10,KS,"768,422",0,"8,003",0
2020-09-06,PR,"17,635",1,468,5
2020-10-31,ND,"45,043","1,127",531,7
2022-08-29,FL,"7,019,081","6,229","80,394",61
2020-10-08,PA,"173,969","1,351","8,299",27
2020-09-22,OH,"145,850",685,"4,635",12
2021-10-19,FL,"3,650,185","2,720","60,711",76
2020-08-29,OH,"121,340","1,216","4,126",21
2020-05-25,SD,"4,586",23,50,0
2021-09-22,ND,"127,912",629,"1,595",0
2020-08-24,NY,"197,811",194,"8,933",3
